edge_id,source_id,target_id,relation,confidence,source_doc,source_ref,notes
E0001,PROC:MM01,STEP:MM01_10,HAS_STEP,documented,RA_PROC01,RA V002 Ch.3.2,
E0002,PROC:MM01,STEP:MM01_20,HAS_STEP,documented,RA_PROC01,RA V002 Ch.3.2,
E0003,PROC:MM01,STEP:MM01_30,HAS_STEP,documented,RA_PROC01,RA V002 Ch.3.2,
E0004,STEP:MM01_10,TX:MM01_MAIN,USES_TRANSACTION,documented,RA_PROC01,RA V002 Ch.3.2,
E0005,TX:MM01_MAIN,ROLE:MM01_BASE,REQUIRES_BASE_ROLE,peripheral,RA_PROC01,RA V002 Ch.3.2,
E0006,PROC:MM02,STEP:MM02_10,HAS_STEP,documented,BP_ZI_MM_BASE,p.2 Scope,
E0007,PROC:MM02,STEP:MM02_20,HAS_STEP,documented,BP_ZI_MM_BASE,p.2 Scope,
E0008,PROC:MM02,STEP:MM02_30,HAS_STEP,documented,BP_ZI_MM_BASE,p.2 Scope,
E0009,PROC:MM02,STEP:MM02_40,HAS_STEP,documented,BP_ZI_MM_BASE,p.2 Scope,
E0010,STEP:MM02_10,TX:MM02_MAIN,USES_TRANSACTION,documented,BP_ZI_MM_BASE,p.2 Scope,
E0011,TX:MM02_MAIN,ROLE:MM02_BASE,REQUIRES_BASE_ROLE,peripheral,BP_ZI_MM_BASE,p.2 Scope,
E0012,PROC:MM03,STEP:MM03_10,HAS_STEP,documented,BP_ZI_MM_BASE,p.2,
E0013,PROC:MM03,STEP:MM03_20,HAS_STEP,documented,BP_ZI_MM_BASE,p.2,
E0014,PROC:MM03,STEP:MM03_30,HAS_STEP,documented,BP_ZI_MM_BASE,p.2,
E0015,PROC:MM03,STEP:MM03_40,HAS_STEP,documented,BP_ZI_MM_BASE,p.2,
E0016,STEP:MM03_10,TX:MM03_MAIN,USES_TRANSACTION,documented,BP_ZI_MM_BASE,p.2,
E0017,TX:MM03_MAIN,ROLE:MM03_BASE,REQUIRES_BASE_ROLE,peripheral,BP_ZI_MM_BASE,p.2,
E0018,PROC:MM04,STEP:MM04_10,HAS_STEP,documented,PRD_GP_MM,TP 2001598,
E0019,PROC:MM04,STEP:MM04_20,HAS_STEP,documented,PRD_GP_MM,TP 2001598,
E0020,PROC:MM04,STEP:MM04_30,HAS_STEP,documented,PRD_GP_MM,TP 2001598,
E0021,PROC:MM04,STEP:MM04_40,HAS_STEP,documented,PRD_GP_MM,TP 2001598,
E0022,STEP:MM04_10,TX:MM04_MAIN,USES_TRANSACTION,documented,PRD_GP_MM,TP 2001598,
E0023,TX:MM04_MAIN,ROLE:MM04_BASE,REQUIRES_BASE_ROLE,peripheral,PRD_GP_MM,TP 2001598,
E0024,PROC:MM05,STEP:MM05_10,HAS_STEP,documented,BP_ZI_MM_BASE,p.2,
E0025,PROC:MM05,STEP:MM05_20,HAS_STEP,documented,BP_ZI_MM_BASE,p.2,
E0026,PROC:MM05,STEP:MM05_30,HAS_STEP,documented,BP_ZI_MM_BASE,p.2,
E0027,STEP:MM05_10,TX:MM05_MAIN,USES_TRANSACTION,documented,BP_ZI_MM_BASE,p.2,
E0028,TX:MM05_MAIN,ROLE:MM05_BASE,REQUIRES_BASE_ROLE,peripheral,BP_ZI_MM_BASE,p.2,
E0029,PROC:AM01,STEP:AM01_10,HAS_STEP,documented,RA_PROC02,RA V001 Ch.4.1,
E0030,PROC:AM01,STEP:AM01_20,HAS_STEP,documented,RA_PROC02,RA V001 Ch.4.1,
E0031,PROC:AM01,STEP:AM01_30,HAS_STEP,documented,RA_PROC02,RA V001 Ch.4.1,
E0032,STEP:AM01_10,TX:AM01_MAIN,USES_TRANSACTION,documented,RA_PROC02,RA V001 Ch.4.1,
E0033,TX:AM01_MAIN,ROLE:AM01_BASE,REQUIRES_BASE_ROLE,peripheral,RA_PROC02,RA V001 Ch.4.1,
E0034,PROC:AM02,STEP:AM02_10,HAS_STEP,documented,BP_ZI_AM_BASE,p.4,
E0035,PROC:AM02,STEP:AM02_20,HAS_STEP,documented,BP_ZI_AM_BASE,p.4,
E0036,PROC:AM02,STEP:AM02_30,HAS_STEP,documented,BP_ZI_AM_BASE,p.4,
E0037,PROC:AM02,STEP:AM02_40,HAS_STEP,documented,BP_ZI_AM_BASE,p.4,
E0038,STEP:AM02_10,TX:AM02_MAIN,USES_TRANSACTION,documented,BP_ZI_AM_BASE,p.4,
E0039,TX:AM02_MAIN,ROLE:AM02_BASE,REQUIRES_BASE_ROLE,peripheral,BP_ZI_AM_BASE,p.4,
E0040,PROC:QM01,STEP:QM01_10,HAS_STEP,documented,RA_PROC01,RA V002 Ch.5.1,
E0041,PROC:QM01,STEP:QM01_20,HAS_STEP,documented,RA_PROC01,RA V002 Ch.5.1,
E0042,PROC:QM01,STEP:QM01_30,HAS_STEP,documented,RA_PROC01,RA V002 Ch.5.1,
E0043,STEP:QM01_10,TX:QM01_MAIN,USES_TRANSACTION,documented,RA_PROC01,RA V002 Ch.5.1,
E0044,TX:QM01_MAIN,ROLE:QM01_BASE,REQUIRES_BASE_ROLE,peripheral,RA_PROC01,RA V002 Ch.5.1,
E0045,QM:BATCH_RELEASE,SYS:LAB_SYSTEM,SUSPECTED_SOURCE,inferred,DERIVED:RA_PROC01,RA V002 Ch.5.3,"Flagship finding: undocumented interface between batch release and lab system, RA_PROC01 risk #7"
E0046,PROC:AM01,ORG:PLANT_01,LINKED_VIA_INVESTMENT,documented,RA_PROC02,RA V001 Ch.4.2,
E0047,PROC:MM01,ORG:PLANT_01,RECONCILES_TO,inferred,DERIVED:RA_PROC01,-,"Cross-module reconciliation, not directly evidenced"
